"municipio_ibge","municipio","nome","unidade","endereco","bairro","esportes_confirmados","google_maps_url","google_place_id","fonte_oficial_url","outra_fonte_url","conferido_em","status","id_existente","foto_url","foto_autor","foto_permissao_ou_licenca","foto_fonte","foto_largura","foto_altura","divergencias"
"3509502","Campinas","Arena Aveiro","","Estrada Municipal dos Aveiros, 11","Jardim Andorinhas","beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+Aveiro%2C+Estrada+Municipal+dos+Aveiros%2C+11%2C+Campinas","","https://arenaaveiro.com.br/contato/","","2026-09-13","importado no principal; foto pendente","2e872182-9350-5d68-96e7-afc73e3c257b","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3543402","Ribeirão Preto","Arena Beach Ribeirão","","Rua Padre Modesto Nones, 115","Quintas de São José","beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+Beach+Ribeir%C3%A3o%2C+Rua+Padre+Modesto+Nones%2C+115%2C+Ribeir%C3%A3o+Preto","","https://www.arenabeachribeirao.com.br/","https://www.ribeiraopreto.sp.gov.br/portal/pdf/cultura849.pdf","2026-09-13","importado no principal; foto pendente","6ab9f6e1-947f-50f4-a213-49ece13d45f7","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3506003","Bauru","Indoor Beach Tennis","","Rua Professora Prosperina de Queirós, Quadra 2","Jardim Pagani","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=Indoor+Beach+Tennis%2C+Rua+Professora+Prosperina+de+Queir%C3%B3s%2C+Quadra+2%2C+Bauru","","https://indoorbeachtennis.com.br/","","2026-09-13","importado no principal; foto pendente","136543b0-8668-5480-a375-d3f83bd6dfaa","","","Pendente; nenhuma foto copiada neste lote","","","","O site informa a quadra do logradouro. Confirme o número da entrada diretamente com a arena."
"3506003","Bauru","Beach Bauru","","Rua Wilson Pedro Speridião, 126","Jardim Vitória","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=Beach+Bauru%2C+Rua+Wilson+Pedro+Speridi%C3%A3o%2C+126%2C+Bauru","","https://www.beachbauru.com.br/","","2026-09-13","importado no principal; foto pendente","1e1c79c5-fd0c-5565-98ad-9b4876879a09","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3506003","Bauru","Aranda Beach Tennis","","Rua Severino Lins, 1-99","Vila Aviação","beach-tennis","https://www.google.com/maps/search/?api=1&query=Aranda+Beach+Tennis%2C+Rua+Severino+Lins%2C+1-99%2C+Bauru","","https://www.tfsports.com.br/open-beach-tennis/bauru2025","https://socialbauru.com.br/11-arenas-para-jogar-beach-tennis-em-bauru/","2026-09-13","importado no principal; foto pendente","8b42540f-55e7-5233-8394-4c9edbf90baa","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3502804","Araçatuba","Arena Pompeu Beach Tennis","","Rua Duque de Caxias, 1778","Centro","beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+Pompeu+Beach+Tennis%2C+Rua+Duque+de+Caxias%2C+1778%2C+Ara%C3%A7atuba","","https://turismo.aracatuba.sp.gov.br/turismo/mapaturistico.pdf","https://www.listamais.com.br/local/cad_idfBfQ00f/arena-pompeu-beach-tennis-beach-tennis-em-aracatuba-sp","2026-09-13","importado no principal; foto pendente","396be7d3-4f5d-5f85-8ee6-b63be5c71a07","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3516200","Franca","Arena NRT Beach Tennis","","Rua Alfredo Tosi, 1960","Núcleo Agrícola Alpha","beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+NRT+Beach+Tennis%2C+Rua+Alfredo+Tosi%2C+1960%2C+Franca","","https://www.itftennis.com/en/tournament/bt10-franca-1/bra/2026/b-tour-bra-2026-197/fact-sheet/","","2026-09-13","importado no principal; foto pendente","74eebe61-4330-5cb1-892c-8a47217ca7dc","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3538709","Piracicaba","Sharx Arena","","Rua Nicola Nardo, 199","Parque Santa Cecília","beach-tennis","https://www.google.com/maps/search/?api=1&query=Sharx+Arena%2C+Rua+Nicola+Nardo%2C+199%2C+Piracicaba","","https://sharxarena.com.br/","","2026-09-13","importado no principal; foto pendente","65a3d973-40b6-59fc-8322-058cc42b97e6","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3525904","Jundiaí","Tâmega Sport Club","","Rua Cica, 2075","Vila Angélica","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=T%C3%A2mega+Sport+Club%2C+Rua+Cica%2C+2075%2C+Jundia%C3%AD","","https://tamegasportclub.com.br/","","2026-09-13","importado no principal; foto pendente","daf894c8-d97e-51c6-a29b-ec91641a3ea9","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3518800","Guarulhos","Arena Maré Beach","","Rua Alberto Hinoto Bento, 118","Macedo","beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+Mar%C3%A9+Beach%2C+Rua+Alberto+Hinoto+Bento%2C+118%2C+Guarulhos","","https://wellhub.com/pt-br/search/partners/arena-mare-beach/","https://letzplay.me/marebeach","2026-09-13","importado no principal; foto pendente","e987535d-253d-551c-af30-df38956fa0c9","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3547809","Santo André","Arena Pappi","","Avenida Queirós Filho, 510","Vila América","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=Arena+Pappi%2C+Avenida+Queir%C3%B3s+Filho%2C+510%2C+Santo+Andr%C3%A9","","https://arenapappi.com.br/","","2026-09-13","importado no principal; foto pendente","aa98d2d0-d737-5f14-b61e-9ae41ef15659","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3548708","São Bernardo do Campo","Arena Pé na Areia","","Avenida Winston Churchill, 452","Rudge Ramos","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=Arena+P%C3%A9+na+Areia%2C+Avenida+Winston+Churchill%2C+452%2C+S%C3%A3o+Bernardo+do+Campo","","https://arenapenareia.com.br/","","2026-09-13","importado no principal; foto pendente","0bede924-7769-5cbb-bb6a-5f596c2655dc","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3548708","São Bernardo do Campo","Arena do Momento","","Avenida Winston Churchill, 1502","Rudge Ramos","futevolei; beach-tennis","https://www.google.com/maps/search/?api=1&query=Arena+do+Momento%2C+Avenida+Winston+Churchill%2C+1502%2C+S%C3%A3o+Bernardo+do+Campo","","https://arenadomomento.com.br/agendamento/","","2026-09-13","importado no principal; foto pendente","483243da-ff95-5901-a1df-82d4ed01a0c9","","","Pendente; nenhuma foto copiada neste lote","","","",""
"3548708","São Bernardo do Campo","Arena Pro Beach","","Avenida Cézar Magnani, 840","Paulicéia","futevolei; beach-tennis; volei-praia","https://www.google.com/maps/search/?api=1&query=Arena+Pro+Beach%2C+Avenida+C%C3%A9zar+Magnani%2C+840%2C+S%C3%A3o+Bernardo+do+Campo","","https://arenaprobeach.com/","","2026-09-13","importado no principal; foto pendente","ecbdf985-2090-58e2-b392-c8cecac7fee1","","","Pendente; nenhuma foto copiada neste lote","","","",""
