"municipio_ibge","municipio","regiao_intermediaria","status","google_busca_1","google_busca_2","google_busca_3","google_busca_4","google_busca_5","consultado_em","candidatos","observacoes"
"3500105","Adamantina","Presidente Prudente","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Adamantina%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Adamantina%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Adamantina%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Adamantina%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Adamantina%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500204","Adolfo","São José do Rio Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Adolfo%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Adolfo%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Adolfo%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Adolfo%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Adolfo%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500303","Aguaí","Campinas","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Agua%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Agua%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Agua%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Agua%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Agua%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500402","Águas da Prata","Campinas","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20%C3%81guas%20da%20Prata%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20%C3%81guas%20da%20Prata%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20%C3%81guas%20da%20Prata%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20%C3%81guas%20da%20Prata%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20%C3%81guas%20da%20Prata%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500501","Águas de Lindóia","Campinas","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20%C3%81guas%20de%20Lind%C3%B3ia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20%C3%81guas%20de%20Lind%C3%B3ia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20%C3%81guas%20de%20Lind%C3%B3ia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20%C3%81guas%20de%20Lind%C3%B3ia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20%C3%81guas%20de%20Lind%C3%B3ia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500550","Águas de Santa Bárbara","Sorocaba","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20%C3%81guas%20de%20Santa%20B%C3%A1rbara%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20%C3%81guas%20de%20Santa%20B%C3%A1rbara%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20%C3%81guas%20de%20Santa%20B%C3%A1rbara%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20%C3%81guas%20de%20Santa%20B%C3%A1rbara%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20%C3%81guas%20de%20Santa%20B%C3%A1rbara%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500600","Águas de São Pedro","Campinas","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20%C3%81guas%20de%20S%C3%A3o%20Pedro%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20%C3%81guas%20de%20S%C3%A3o%20Pedro%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20%C3%81guas%20de%20S%C3%A3o%20Pedro%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20%C3%81guas%20de%20S%C3%A3o%20Pedro%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20%C3%81guas%20de%20S%C3%A3o%20Pedro%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500709","Agudos","Bauru","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Agudos%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Agudos%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Agudos%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Agudos%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Agudos%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500758","Alambari","Sorocaba","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Alambari%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Alambari%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Alambari%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Alambari%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Alambari%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3500808","Alfredo Marcondes","Presidente Prudente","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Alfredo%20Marcondes%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Alfredo%20Marcondes%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Alfredo%20Marcondes%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Alfredo%20Marcondes%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Alfredo%20Marcondes%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
